prefix,day,algorithm,rg_id,serialno,status
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-22,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-23,csr,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-23,csr,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-23,iaso,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-23,iaso,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-23,iaso,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-23,iaso,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-23,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-24,lstm,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-24,iaso,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-24,iaso,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-24,iaso,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-24,patchTST,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-24,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-25,iaso,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-25,iaso,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-25,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-26,lstm,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-26,iaso,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-26,iaso,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-26,iaso,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-26,patchTST,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-26,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-27,iaso,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-27,iaso,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-27,iaso,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-27,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-28,iaso,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-28,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-29,iaso,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-29,iaso,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-29,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-30,csr,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-30,csr,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-30,iaso,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-30,iaso,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-30,iaso,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-30,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-31,iaso,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-31,iaso,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-31,iaso,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-31,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-08-01,iaso,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-08-01,iaso,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-08-01,threshold,cluster_A/host_1,disk9,T
