cluster,host_name,workload,disk_id,
cluster_F,host_67,block,disk2,
cluster_F,host_68,block,disk1,
cluster_F,host_68,block,disk2,
cluster_F,host_69,block,disk1,
cluster_F,host_69,block,disk2,
cluster_F,host_7,block,disk1,
cluster_F,host_7,block,disk2,
cluster_F,host_70,block,disk1,
cluster_F,host_70,block,disk2,
cluster_F,host_71,block,disk1,
cluster_F,host_71,block,disk2,
cluster_F,host_72,block,disk1,
cluster_F,host_72,block,disk2,
cluster_F,host_74,block,disk1,
cluster_F,host_74,block,disk2,
cluster_F,host_75,block,disk1,
cluster_F,host_75,block,disk2,
cluster_F,host_76,block,disk1,
cluster_F,host_76,block,disk2,
cluster_F,host_77,block,disk1,
cluster_F,host_77,block,disk2,
cluster_F,host_78,block,disk1,
cluster_F,host_78,block,disk2,
cluster_F,host_79,block,disk1,
cluster_F,host_79,block,disk2,
cluster_F,host_8,block,disk1,
cluster_F,host_8,block,disk2,
cluster_F,host_80,block,disk1,
cluster_F,host_80,block,disk2,
cluster_F,host_81,block,disk1,
cluster_F,host_81,block,disk2,
cluster_F,host_82,block,disk1,
cluster_F,host_82,block,disk2,
cluster_F,host_83,block,disk1,
cluster_F,host_83,block,disk2,
cluster_F,host_84,block,disk1,
cluster_F,host_84,block,disk2,
cluster_F,host_85,block,disk1,
cluster_F,host_85,block,disk2,
cluster_F,host_86,block,disk1,
cluster_F,host_86,block,disk2,
cluster_F,host_87,block,disk1,
cluster_F,host_87,block,disk2,
cluster_F,host_88,block,disk1,
cluster_F,host_88,block,disk2,
cluster_F,host_89,block,disk1,
cluster_F,host_89,block,disk2,
cluster_F,host_9,block,disk1,
cluster_F,host_9,block,disk2,
cluster_F,host_90,block,disk1,
cluster_F,host_90,block,disk2,
cluster_F,host_91,block,disk1,
cluster_F,host_91,block,disk2,
cluster_F,host_92,block,disk1,
cluster_F,host_92,block,disk2,
cluster_F,host_93,block,disk1,
cluster_F,host_93,block,disk2,
cluster_F,host_94,block,disk1,
cluster_F,host_94,block,disk2,
cluster_G,host_5,block,disk7,
cluster_G,host_5,block,disk6,
cluster_H,host_130,object,disk4,
cluster_H,host_169,object,disk12,
cluster_H,host_182,object,disk8,
cluster_I,host_12,block,disk3,
cluster_J,host_11,log,disk1,
cluster_J,host_11,log,disk2,
cluster_J,host_13,log,disk1,
cluster_J,host_13,log,disk2,
cluster_J,host_13,log,disk3,
cluster_J,host_15,log,disk1,
cluster_J,host_20,log,disk1,
cluster_J,host_20,log,disk2,
cluster_J,host_20,log,disk3,
cluster_J,host_21,log,disk1,
cluster_J,host_21,log,disk2,
cluster_J,host_23,log,disk1,
cluster_J,host_30,log,disk1,
cluster_J,host_30,log,disk2,
cluster_J,host_31,log,disk1,
cluster_J,host_31,log,disk2,
cluster_J,host_31,log,disk3,
cluster_J,host_4,log,disk1,
cluster_K,host_342,data_warehouse,disk9,
cluster_L,host_55,object,disk5,
cluster_L,host_7,object,disk8,
cluster_M,host_105,object,disk7,
cluster_M,host_20,object,disk12,
cluster_M,host_36,object,disk7,
cluster_M,host_36,object,disk3,
cluster_M,host_58,object,disk4,
cluster_M,host_73,object,disk12,
cluster_M,host_8,object,disk1,
cluster_M,host_8,object,disk1,
cluster_M,host_85,object,disk11,
cluster_M,host_96,object,disk12,
cluster_N,host_169,e-commerce,disk4,
cluster_N,host_42,e-commerce,disk1,
cluster_N,host_49,e-commerce,disk11,
cluster_N,host_76,e-commerce,disk11,
cluster_O,host_5,block,disk11,
cluster_P,host_8,database,disk2,
cluster_Q,host_6,database,disk10,
cluster_R,host_108,object,disk7,
cluster_R,host_137,object,disk7,
cluster_R,host_145,object,disk2,
cluster_R,host_179,object,disk12,
cluster_R,host_208,object,disk12,
cluster_R,host_208,object,disk9,
cluster_R,host_255,object,disk6,
cluster_R,host_362,object,disk7,
cluster_R,host_368,object,disk12,
cluster_R,host_373,object,disk7,
cluster_R,host_373,object,disk6,
cluster_R,host_384,object,disk9,
cluster_R,host_384,object,disk9,
cluster_R,host_406,object,disk1,
cluster_R,host_44,object,disk4,
cluster_R,host_65,object,disk10,
cluster_R,host_80,object,disk5,
cluster_R,host_93,object,disk9,
cluster_S,host_39,block,disk4,
cluster_T,host_102,object,disk4,
cluster_T,host_102,object,disk2,
cluster_T,host_199,object,disk2,
cluster_T,host_57,object,disk3,
cluster_T,host_67,object,disk4,
cluster_T,host_88,object,disk1,
cluster_U,host_27,block,disk7,
cluster_U,host_5,block,disk7,
cluster_V,host_24,object,disk12,
cluster_V,host_42,object,disk7,
cluster_W,host_125,object,disk9,
cluster_W,host_136,object,disk8,
cluster_W,host_153,object,disk10,
cluster_X,host_45,big_data,disk2,
cluster_Y,host_62,block,disk7,
